ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-04-15T00:00:00.000Z,5TDERKEC6RS12M522,2024,Sienna Platinum,DealerHold,False,Factory to port,58178,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,113,Sarasota Toyota,https://www.sarasotatoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Digital Rear View Mirror with Homelink | Illuminated Door Sills | Mudguards | Platinum Package | Rear Seat Entertainment System- | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum
2024-05-12T00:00:00.000Z,5TDERKEC6RS15D670,2024,Sienna Platinum,DealerHold,False,Factory to port,57563,Blueprint,Nobel Brown Leather,172,Al Hendrickson Toyota,https://www.alhendricksontoyota.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Illuminated Door Sills | Mudguards | Paint Protection Film - Hood & Door Package | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | SmartLED Ambient Lighting | TOYOGUARD Platinum
2024-03-09T00:00:00.000Z,5TDERKEC6RS196708,2024,Sienna Platinum,Available,False,At dealer,56616,Cypress,Nobel Brown Leather,188,Toyota of Hollywood,https://www.toyotaofhollywood.com,True,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Carpet Floor Mats | Clear Paint Protection - Full Hood Package | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-03-26T00:00:00.000Z,5TDERKEC6RS198202,2024,Sienna Platinum,DealerHold,False,Factory to port,55843,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,5,AutoNation Toyota Winter Park,https://www.autonationtoyotawinterpark.com,True,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Carpet Floor Mats | Mudguards | Platinum Package | SET Digital Portfolio | SPECIAL COLOR
2024-04-08T00:00:00.000Z,5TDERKEC7RS11O476,2024,Sienna Platinum,Available,False,Factory to port,57344,Celestial Silver Metallic,Nobel Brown Leather,147,Southern 441 Toyota,https://www.southern441toyota.com,False,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Dashcam | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | SmartLED Ambient Lighting | Southeast Toyota Distributor | TOYOGUARD Platinum
2024-04-09T00:00:00.000Z,5TDERKEC7RS11P420,2024,Sienna Platinum,Available,False,Factory to port,57375,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,89,Toyota of Vero Beach,https://www.verobeachtoyota.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Dashcam | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum | Temporary Spare Tire
2024-04-29T00:00:00.000Z,5TDERKEC7RS13L813,2024,Sienna Platinum,Available,False,Factory to port,56512,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,37,Mike Erdman Toyota,https://www.mikeerdmantoyota.com,True,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Illuminated Door Sills | Mudguards | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum
2024-03-13T00:00:00.000Z,5TDERKEC7RS197415,2024,Sienna Platinum,Available,False,At dealer,55843,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,192,Headquarter Toyota,https://www.headquartertoyota.com,False,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Carpet Floor Mats | Mudguards | Platinum Package | SPECIAL COLOR | Southeast Toyota Distributor
2024-03-26T00:00:00.000Z,5TDERKEC7RS197978,2024,Sienna Platinum,Available,False,Factory to port,56930,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,48,Lakeland Toyota,https://www.lakelandtoyota.com,False,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Clear Paint Protection - Full Hood Package | Cross Bars | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum
2024-04-28T00:00:00.000Z,5TDERKEC8RS13M047,2024,Sienna Platinum,Available,False,Factory to port,55389,Blueprint,Nobel Brown Leather,86,Sun Toyota,https://www.suntoyota.com,False,50 State Emissions | 6-Gallons of Gas | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
